c_inst_name_code,c_inst_name_hz,c_inst_name_py
570,"大悲閣",Dabeige
571,"大慈塔院",Dacitayuan
572,"大慈寺","Daci Si"
573,"大慧寺","Dahui Si"
574,"大施寺","Dashi Si"
575,"大明寺","Daming Si"
576,"大望海寺","Dawanghai Si"
577,"大果寺","Daguo Si"
578,"大梵寺","Dafan Si"
579,"大泉寺","Daquan Si"
580,"大法寺","Dafa Si"
581,"大相國寺","Daxiangguo Si"
582,"大羅寺","Daluo Si"
583,"大聖寺","Dasheng Si"
584,"大興國寺","Daxingguo Si"
585,"大興寺","Daxing Si"
586,"大興福寺","Daxingfu Si"
587,"大藏寺","Dazang Si"
588,"大覺寺","Dajue Si"
589,"大通寺","Datong Si"
590,"大金佛寺","Dajinfo Si"
591,"大鑑寺","Dajian Si"
592,"大雄寺","Daxiong Si"
593,"大雄教寺","Daxiongjiao Si"
594,"大雲禪寺","Dayuncan Si"
595,"天井寺","Tianjing Si"
596,"天台寺","Tiantai Si"
597,"天地寺","Tiandi Si"
598,"天堂寺","Tiantang Si"
599,"天壽聖恩寺","Tianshousheng'en Si"
600,"天宮寺","Tiangong Si"
601,"天寧光孝寺","Tianningguangxiao Si"
602,"天寧萬壽寺","Tianningwanshou Si"
603,"天寶塔","Tianbao Ta"
604,"天封寺","Tianfeng Si"
605,"天平寺","Tianping Si"
606,"天應寺","Tianying Si"
607,"天成寺","Tiancheng Si"
608,"天柱寺","Tianzhu Si"
609,"天樂寺","Tianle Si"
610,"天王寺","Tianwang Si"
611,"天王院","Tianwang Yuan"
612,"天皇寺","Tianhuang Si"
613,"天竺寺","Tianzhu Si"
614,"天聖寺","Tiansheng Si"
615,"天衣寺","Tianyi Si"
616,"天長淨心寺","Tianchangjingxin Si"
617,"天門寺","Tianmen Si"
618,"天龍寺","Tianlong Si"
619,"太子寺","Taizi Si"
620,"太平羅漢寺","Taipingluohan Si"
621,"太平興國院","Taipingxingguo Yuan"
622,"太華寺","Taihua Si"
623,"太陽寺","Taiyang Si"
624,"奉先寺","Fengxian SI"
625,"奉國寺","Fengguo Si"
626,"奉思寺","Fengsi Si"
627,"奉慈寺","Fengci Si"
628,"奉聖寺","Fengsheng Si"
629,"如意寺","Ruyi Si"
