c_inst_name_code,c_inst_code,c_inst_code_new,c_new_new_code
723,138615,2,1310
724,138613,1,1311
725,138612,1,1312
725,139415,2,1313
725,139820,3,1314
725,140223,4,1315
725,140425,5,1316
726,138616,1,1317
726,138617,2,1318
726,139645,3,1319
727,138618,1,1320
727,138619,2,1321
728,138620,1,1322
729,138621,1,1323
729,138622,2,1324
729,138623,3,1325
730,138624,1,1326
731,138625,1,1327
732,138629,1,1328
733,138609,1,1329
733,138610,2,1330
733,138611,3,1331
733,140350,4,1332
734,138630,1,1333
734,138631,2,1334
734,139676,3,1335
735,138602,1,1336
735,138603,2,1337
735,138604,3,1338
735,139991,4,1339
736,138632,1,1340
737,138633,1,1341
738,138634,1,1342
739,138635,1,1343
740,140498,1,1344
741,140441,1,1345
742,140378,1,1346
743,140542,1,1347
744,140543,1,1348
745,140544,1,1349
746,138636,1,1350
746,140469,2,1351
746,140555,3,1352
747,140363,1,1353
748,140494,1,1354
749,138637,1,1355
749,139752,2,1356
750,138638,1,1357
751,139837,1,1358
752,138664,1,1359
752,138665,2,1360
752,139804,3,1361
753,138639,1,1362
754,138640,1,1363
755,140373,1,1364
756,138641,1,1365
757,139632,1,1366
758,138643,1,1367
758,138644,2,1368
758,138645,3,1369
759,138646,1,1370
760,140055,1,1371
761,139915,1,1372
762,138648,1,1373
762,139479,2,1374
762,139507,3,1375
763,138649,1,1376
763,140008,2,1377
763,140074,3,1378
764,138647,1,1379
764,139673,2,1380
765,138650,1,1381
765,138651,2,1382
765,138652,3,1383
765,138653,4,1384
765,138654,5,1385
765,139411,6,1386
765,139882,7,1387
766,140091,1,1388
766,140276,2,1389
766,140329,3,1390
767,138655,1,1391
767,138656,2,1392
767,138657,3,1393
767,140240,4,1394
768,138658,1,1395
769,138659,1,1396
769,138660,2,1397
769,138661,3,1398
769,139758,4,1399
769,139916,5,1400
769,140150,6,1401
769,140385,7,1402
769,140397,8,1403
770,138642,1,1404
771,138662,1,1405
772,138663,1,1406
773,138673,1,1407
774,139528,1,1408
775,140192,1,1409
775,140203,2,1410
776,138680,1,1411
776,138681,2,1412
776,140108,3,1413
777,138682,1,1414
778,140162,1,1415
779,138683,1,1416
780,138684,1,1417
781,138723,1,1418
782,138724,1,1419
783,138725,1,1420
783,138726,2,1421
784,138727,1,1422
784,138728,2,1423
785,138729,1,1424
785,138730,2,1425
785,138731,3,1426
786,138732,1,1427
787,138733,1,1428
788,138734,1,1429
789,140367,1,1430
790,138735,1,1431
791,140554,1,1432
792,138736,1,1433
793,138738,1,1434
794,139531,1,1435
795,138739,1,1436
796,139831,1,1437
797,140149,1,1438
798,138741,1,1439
799,139460,1,1440
800,139040,1,1441
801,138742,1,1442
802,140346,1,1443
803,138747,1,1444
804,139430,1,1445
805,139674,1,1446
805,139759,2,1447
805,140468,3,1448
806,138748,1,1449
807,138750,1,1450
807,140104,2,1451
808,138753,1,1452
809,138754,1,1453
810,138755,1,1454
811,138751,1,1455
811,138752,2,1456
811,140360,3,1457
812,140039,1,1458
813,138756,1,1459
813,139884,2,1460
814,138757,1,1461
814,138758,2,1462
815,138759,1,1463
816,138760,1,1464
817,138749,1,1465
818,138761,1,1466
819,138762,1,1467
820,139883,1,1468
821,139643,1,1469
822,138764,1,1470
823,138765,1,1471
824,140252,1,1472
825,138767,1,1473
826,138768,1,1474
827,138769,1,1475
828,138770,1,1476
829,138668,1,1477
829,139530,2,1478
830,138669,1,1479
831,138670,1,1480
832,139505,1,1481
833,138666,1,1482
833,138667,2,1483
834,140113,1,1484
835,139569,1,1485
836,138672,1,1486
837,138671,1,1487
838,138737,1,1488
839,138771,1,1489
840,139501,1,1490
841,138773,1,1491
842,138774,1,1492
843,138780,1,1493
844,140546,1,1494
845,138781,1,1495
846,138782,1,1496
847,138783,1,1497
848,140315,1,1498
849,138784,1,1499
850,140163,1,1500
851,138785,1,1501
852,140355,1,1502
853,138786,1,1503
854,138787,1,1504
855,138788,1,1505
855,140335,2,1506
856,138792,1,1507
857,138793,1,1508
857,138794,2,1509
858,138795,1,1510
859,138796,1,1511
860,139606,1,1512
861,139866,1,1513
861,140099,2,1514
861,140413,3,1515
862,138797,1,1516
863,138798,1,1517
864,140063,1,1518
865,139854,1,1519
866,138802,1,1520
867,138803,1,1521
867,139589,2,1522
867,139711,3,1523
868,138804,1,1524
869,138805,1,1525
869,139487,2,1526
869,139540,3,1527
870,139657,1,1528
871,139553,1,1529
872,138806,1,1530
873,139641,1,1531
