AccessTblNm,AccessFldNm,ForeignKey,ForeignKeyBaseField,FKString,FKName,skip,IndexOnField,DataFormat,NULL_allowed
status_data,c_source,TEXT_CODES,c_textid,c_textid,STATUS_DATA_SOURCE_TEXT_ID,0,,Long,1
status_data,c_status_code,STATUS_CODES,c_status_code,c_status_code,STATUS_DATA_STATUS_CODES,1,"Primary Key",Integer,0
TEXT_BIBLCAT_CODE_TYPE_REL,c_text_cat_code,TEXT_BIBLCAT_CODES,c_text_cat_code,c_text_cat_code,TEXT_BIBLCAT_CODE_TYPE_REL_TEXT_CAT_CODE,1,"Primary Key",Integer,0
TEXT_BIBLCAT_CODE_TYPE_REL,c_text_cat_type_id,TEXT_BIBLCAT_TYPES,c_text_cat_type_id,c_text_cat_type_id,TEXT_BIBLCAT_CODE_TYPE_REL_TEXT_CAT_TYPE,0,"Primary Key",Text,0
TEXT_CODES,c_bibl_cat_code,TEXT_BIBLCAT_CODES,c_text_cat_code,c_text_cat_code,TEXT_CODES_TEXT_BIBLCAT_CODE,1,,Integer,1
text_codes,c_extant,EXTANT_CODES,c_extant_code,c_extant_code,TEXT_CODES_EXTANT_CODE,0,,Integer,1
text_codes,c_pub_country,COUNTRY_CODES,c_country_code,c_country_code,TEXT_CODES_COUNTRY_CODE_PUB,0,,Integer,1
text_codes,c_pub_dy,DYNASTIES,c_dy,c_dy,TEXT_CODES_DYNASTY_PUB,0,,Integer,1
text_codes,c_pub_nh_code,NIAN_HAO,c_nianhao_id,c_nianhao_id,TEXT_CODES_NIAN_HAO_PUB,0,,Integer,1
text_codes,c_pub_range_code,YEAR_RANGE_CODES,c_range_code,c_range_code,TEXT_CODES_YEAR_RANGE_CODE_PUB,0,,Integer,1
text_codes,c_source,TEXT_CODES,c_textid,c_textid,TEXT_CODES_SOURCE_TEXT_ID,1,,Long,1
text_codes,c_text_country,COUNTRY_CODES,c_country_code,c_country_code,TEXT_CODES_COUNTRY_CODE_TEXT,0,,Integer,1
text_codes,c_text_dy,DYNASTIES,c_dy,c_dy,TEXT_CODES_DYNASTY_TEXT,0,,Integer,1
text_codes,c_text_nh_code,NIAN_HAO,c_nianhao_id,c_nianhao_id,TEXT_CODES_NIAN_HAO_TEXT,0,,Integer,1
text_codes,c_text_range_code,YEAR_RANGE_CODES,c_range_code,c_range_code,TEXT_CODES_YEAR_RANGE_CODE_TEXT,0,,Integer,1
